chunk_id,source_id,source_title,row_index,detected_zero_substance_ids,detected_aliases,mapping_note,question,answer
gillman_2023::chunk::2bd23e15a294,gillman_2023,Monoamine oxidase inhibitors and clinically relevant drug interactions,8,,,no direct zero-substance alias detected,What levels of intrasynaptic 5-HT elevation are considered therapeutic?,Therapeutic degrees of elevation are 3 to 10 times physiological levels.
gillman_2023::chunk::32939cf18244,gillman_2023,Monoamine oxidase inhibitors and clinically relevant drug interactions,5,,,no direct zero-substance alias detected,What is usually necessary when managing medication related to serotonin-mediated effects?,"Combinations, reduction or withdrawal of medication."
halman_2024::chunk::731a47d4be13,halman_2024,Drug-drug interactions involving classic psychedelics: A systematic review,16,,,no direct zero-substance alias detected,"What additional articles were identified in the search on September 2, 2023?",262 additional articles were identified.
halman_2024::chunk::ef0d82ee0e5f,halman_2024,Drug-drug interactions involving classic psychedelics: A systematic review,12,,,no direct zero-substance alias detected,What is the role of cytochrome P450 in drug metabolism?,Cytochrome P450 is responsible for metabolising a broad range of drugs.
malcolm_2023::chunk::9e04e8283a3c,malcolm_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul",9,,,no direct zero-substance alias detected,,
malcolm_2023::chunk::df58960e02e4,malcolm_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul",1,,,no direct zero-substance alias detected,,
schmid_2015_a::chunk::e08a2ca5f20e,schmid_2015_a,"Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects",20,,,no direct zero-substance alias detected,What were the time points for measuring pupil function after drug administration?,"Pupil function was measured at 2 hours and 1 hour before and 0, 0.33, 0.67, 1, 1.5, 2, 2.5, 3, 4, 5, 6, and 8 hours after drug administration."
askariyana_2025::chunk::7e47567079a8,askariyana_2025,"An overview of psilocybin, LSD, MDMA, and ketamine in revitalizing psychedelic-assisted therapy: Insights, limitations and future directions",5,,,no direct zero-substance alias detected,What ethical considerations are pertinent to the use of psychedelics in research and clinical settings?,"Informed consent, risk management, and the safety of participants."
askariyana_2025::chunk::bd1404afe92a,askariyana_2025,"An overview of psilocybin, LSD, MDMA, and ketamine in revitalizing psychedelic-assisted therapy: Insights, limitations and future directions",10,,,no direct zero-substance alias detected,"What research centers are associated with Iran University of Medical Sciences in Tehran, Iran?","There are several research centers associated with Iran University of Medical Sciences in Tehran, including the Cellular and Molecular Research Center, the Department of Neuroscience, the Stem Cell and Regenerative Medicine Research Center, the Mental Health Research Center, and the National Brain Center."
baldo_2018::chunk::02a13efc1b15,baldo_2018,Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects,2,,,no direct zero-substance alias detected,What is the mechanism of action of the drug mentioned in the chunk?,The drug acts by inhibiting the enzyme involved in the synthesis of a key component.
baldo_2018::chunk::3b37989af404,baldo_2018,Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects,6,,,no direct zero-substance alias detected,What is the mechanism of action of the compound mentioned?,The compound acts as a selective inhibitor.
