pair_key,substance_a_id,substance_b_id,code,status,confidence,risk_score,headline,mechanism_primary_category,evidence_tier,validation_flags,source_refs,source_text
ayahuasca|salvia,ayahuasca,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",psychiatric_destabilization,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ayahuasca|ndri_bupropion,ayahuasca,ndri_bupropion,THEORETICAL,low_confidence,low,2,Stimulant or monoamine-releasing exposure with another activating agent suggests sympathomimetic load or stimulant stacking.,sympathomimetic_load,theoretical,missing_timing;low_confidence;theoretical_interaction,alma_ayahuasca_medication_interactions_2025,source-gap
antipsychotics|ayahuasca,ayahuasca,antipsychotics,UNSAFE,low_confidence,low,4,Usually a psychiatric contraindication rather than a classic serotonergic-toxicity problem; many antipsychotics will also strongly suppress DMT effects.,serotonergic_toxicity,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update;malcolm_ayahuasca_drug_interaction_2022,entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (The Good + Contraindications slides)
antihypertensives|ayahuasca,ayahuasca,antihypertensives,CAUTION,low_confidence,low,3,"Class-dependent cardiovascular caution; stable ACEi/ARB therapy is often less concerning than beta-blockers, clonidine, or rate-controlling calcium-channel blockers.",cardiovascular_load,mechanistic_inference,low_confidence,alma_ayahuasca_medication_interactions_2025;entheogen_interactions_research_update;malcolm_ayahuasca_drug_interaction_2022,entheogen-interactions-research-update; ayahuasca-interactions.pdf; Ayahuasca and Drug Interaction.pdf
ayahuasca|lamotrigine,ayahuasca,lamotrigine,LOW_MOD,low_confidence,low,2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",seizure_threshold,observational_report,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ayahuasca|ketamine,ayahuasca,ketamine,CAUTION,low_confidence,low,3,"Caution interaction with low confidence, driven by plausible additive blood-pressure/heart-rate load, serotonergic-stack concerns, and dissociation plus purge-related operational risk.",maoi_potentiation,direct_human_data,low_confidence,ayahuasca_pharmacological_interaction_pmc;ketamine_psychiatric_medication_interactions_ijnp;ketamine_norepinephrine_pmc;malcolm_ayahuasca_drug_interaction_2022,entheogen-interactions-research-update
ayahuasca|clonidine_guanfacine,ayahuasca,clonidine_guanfacine,CAUTION,low_confidence,low,3,"Alpha-2 agonists may be potentiated around harmala use and can tilt an ayahuasca session toward hypotension, bradycardia, or over-sedation.",maoi_potentiation,mechanistic_inference,low_confidence;override_applied,entheogen_interactions_research_update,entheogen-interactions-research-update
ayahuasca|beta_blockers_ccb,ayahuasca,beta_blockers_ccb,UNSAFE,low_confidence,low,4,Rate-controlling beta-blockers and certain calcium-channel blockers are higher-concern than generic blood-pressure medication because ayahuasca can create pressure swings while these drugs limit compensatory responses.,cardiovascular_load,mechanistic_inference,missing_timing;low_confidence;override_applied,entheogen_interactions_research_update,entheogen-interactions-research-update
ayahuasca|beta_blockers,ayahuasca,beta_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,entheogen_interactions_research_update,entheogen-interactions-research-update
ayahuasca|calcium_channel_blockers,ayahuasca,calcium_channel_blockers,THEORETICAL,low_confidence,low,2,A cardiovascularly active agent with a classic psychedelic or stimulant suggests a provisional hemodynamic interaction.,hemodynamic_interaction,theoretical,missing_timing;low_confidence;theoretical_interaction,entheogen_interactions_research_update,entheogen-interactions-research-update
psilocybin|salvia,psilocybin,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",psychiatric_destabilization,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
kambo|psilocybin,psilocybin,kambo,INFERRED,inferred,low,,"No deterministic mapping was available, so this pair is classified through a conservative rule-based mechanistic inference.",psychiatric_destabilization,theoretical,missing_timing;low_confidence;inferred_mechanism_added,classic_psychedelic_ddi_review_2024,source-gap
