pair_key,substance_a_id,substance_b_id,exact_chunk_count,class_level_chunk_count,total_chunk_count,source_count,source_ids,source_titles,exact_chunk_ids,class_level_chunk_ids,all_chunk_ids
alcohol|alcohol,alcohol,alcohol,0,0,0,0,,,,,
alcohol|amphetamine_stims,alcohol,amphetamine_stims,5,0,5,2,cohen_2021;rached_2026,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances,cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::f0b8f4bd20a9,,cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::f0b8f4bd20a9
alcohol|antihypertensives,alcohol,antihypertensives,0,0,0,0,,,,,
alcohol|antipsychotics,alcohol,antipsychotics,1,1,2,2,cohen_2021;halman_2024,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Drug-drug interactions involving classic psychedelics: A systematic review,cohen_2021::chunk::bbefec5b8cb7,halman_2024::chunk::567a1313706a,cohen_2021::chunk::bbefec5b8cb7;halman_2024::chunk::567a1313706a
alcohol|atypical_ad,alcohol,atypical_ad,0,0,0,0,,,,,
alcohol|ayahuasca,ayahuasca,alcohol,1,19,20,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",ruffell_2023::chunk::ae332f5b19b5,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::ae332f5b19b5;ruffell_2023::chunk::e9b72429f8eb
alcohol|belladonna,belladonna,alcohol,0,0,0,0,,,,,
alcohol|benzodiazepines,alcohol,benzodiazepines,5,0,5,3,baldo_2018;cohen_2021;rached_2026,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances,baldo_2018::chunk::c14c112d9f6d;cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8,,baldo_2018::chunk::c14c112d9f6d;cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8
alcohol|beta_blockers,alcohol,beta_blockers,1,0,1,1,barnett_2025,"Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine",barnett_2025::chunk::0de876d321a0,,barnett_2025::chunk::0de876d321a0
alcohol|beta_blockers_ccb,alcohol,beta_blockers_ccb,0,0,0,0,,,,,
alcohol|brugmansia,brugmansia,alcohol,0,0,0,0,,,,,
alcohol|calcium_channel_blockers,alcohol,calcium_channel_blockers,0,0,0,0,,,,,
alcohol|cannabis,cannabis,alcohol,5,0,5,4,barnett_2025;cohen_2021;lindsey_2012;rached_2026,"Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Drug Interactions between Common Illicit Drugs and Prescription Therapies | Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances",barnett_2025::chunk::0de876d321a0;cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;lindsey_2012::chunk::6d1b8e28126d;rached_2026::chunk::89e8183c85b8,,barnett_2025::chunk::0de876d321a0;cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;lindsey_2012::chunk::6d1b8e28126d;rached_2026::chunk::89e8183c85b8
alcohol|clonidine,alcohol,clonidine,0,0,0,0,,,,,
alcohol|clonidine_guanfacine,alcohol,clonidine_guanfacine,0,0,0,0,,,,,
alcohol|cocaine,alcohol,cocaine,3,0,3,3,knuijver_2020;rached_2026;ruffell_2023,"Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances | Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study",knuijver_2020::chunk::b7bbfb76393a;rached_2026::chunk::f0b8f4bd20a9;ruffell_2023::chunk::ae332f5b19b5,,knuijver_2020::chunk::b7bbfb76393a;rached_2026::chunk::f0b8f4bd20a9;ruffell_2023::chunk::ae332f5b19b5
alcohol|dox,alcohol,dox,0,0,0,0,,,,,
alcohol|five_meo_dmt,five_meo_dmt,alcohol,0,0,0,0,,,,,
alcohol|guanfacine,alcohol,guanfacine,0,0,0,0,,,,,
alcohol|iboga,alcohol,iboga,1,0,1,1,knuijver_2020,Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study,knuijver_2020::chunk::b7bbfb76393a,,knuijver_2020::chunk::b7bbfb76393a
alcohol|kambo,kambo,alcohol,0,0,0,0,,,,,
alcohol|ketamine,alcohol,ketamine,0,0,0,0,,,,,
alcohol|lamotrigine,alcohol,lamotrigine,0,0,0,0,,,,,
alcohol|lithium,alcohol,lithium,0,1,1,1,gillman_2023,Monoamine oxidase inhibitors and clinically relevant drug interactions,,gillman_2023::chunk::12fd6d056da6,gillman_2023::chunk::12fd6d056da6
alcohol|lsd,lsd,alcohol,0,3,3,2,halman_2024;schmid_2015_a,"Drug-drug interactions involving classic psychedelics: A systematic review | Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects",,halman_2024::chunk::4400ec57461e;halman_2024::chunk::dfd1bb7a18b8;schmid_2015_a::chunk::ffa7efc60709,halman_2024::chunk::4400ec57461e;halman_2024::chunk::dfd1bb7a18b8;schmid_2015_a::chunk::ffa7efc60709
alcohol|maoi_pharma,alcohol,maoi_pharma,7,14,21,4,barnett_2025;gillman_2023;malcolm_2023;rached_2026,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine | Monoamine oxidase inhibitors and clinically relevant drug interactions | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances",barnett_2025::chunk::0de876d321a0;rached_2026::chunk::3fba106ab3fb;rached_2026::chunk::6c94de831618;rached_2026::chunk::85566b10b1c0;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::e1501678f2e5;rached_2026::chunk::f0b8f4bd20a9,gillman_2023::chunk::530406309c44;gillman_2023::chunk::6631e88f6197;gillman_2023::chunk::738ca8bf9095;gillman_2023::chunk::84c1833df1a8;gillman_2023::chunk::91378615dfb3;gillman_2023::chunk::91c975178a34;gillman_2023::chunk::9a2e9c712d52;gillman_2023::chunk::a135d87c557e;gillman_2023::chunk::b8d66db543c2;gillman_2023::chunk::df51155c5328;gillman_2023::chunk::fdb36125c7b2;malcolm_2023::chunk::0a92fbaae0fa;malcolm_2023::chunk::c4baa8d977e4;malcolm_2023::chunk::d5c39ea43721,barnett_2025::chunk::0de876d321a0;gillman_2023::chunk::530406309c44;gillman_2023::chunk::6631e88f6197;gillman_2023::chunk::738ca8bf9095;gillman_2023::chunk::84c1833df1a8;gillman_2023::chunk::91378615dfb3;gillman_2023::chunk::91c975178a34;gillman_2023::chunk::9a2e9c712d52;gillman_2023::chunk::a135d87c557e;gillman_2023::chunk::b8d66db543c2;gillman_2023::chunk::df51155c5328;gillman_2023::chunk::fdb36125c7b2;malcolm_2023::chunk::0a92fbaae0fa;malcolm_2023::chunk::c4baa8d977e4;malcolm_2023::chunk::d5c39ea43721;rached_2026::chunk::3fba106ab3fb;rached_2026::chunk::6c94de831618;rached_2026::chunk::85566b10b1c0;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::e1501678f2e5;rached_2026::chunk::f0b8f4bd20a9
alcohol|mdma,alcohol,mdma,5,4,9,3,cohen_2021;rached_2026;schmid_2015_a,"Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances",cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::f0b8f4bd20a9,schmid_2015_a::chunk::18b3b805afe9;schmid_2015_a::chunk::521b031e4bf9;schmid_2015_a::chunk::9851c738946f;schmid_2015_a::chunk::e53d49d98afa,cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::f0b8f4bd20a9;schmid_2015_a::chunk::18b3b805afe9;schmid_2015_a::chunk::521b031e4bf9;schmid_2015_a::chunk::9851c738946f;schmid_2015_a::chunk::e53d49d98afa
alcohol|mescaline_peyote,mescaline_peyote,alcohol,0,0,0,0,,,,,
alcohol|methylphenidate,alcohol,methylphenidate,0,0,0,0,,,,,
alcohol|nbome_series,alcohol,nbome_series,0,0,0,0,,,,,
alcohol|ndri_bupropion,alcohol,ndri_bupropion,1,4,5,2,cohen_2021;schmid_2015_a,"Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects",cohen_2021::chunk::bbefec5b8cb7,schmid_2015_a::chunk::237b11fcaa84;schmid_2015_a::chunk::45217f0ffa73;schmid_2015_a::chunk::7e2a245a8130;schmid_2015_a::chunk::9519a6b13019,cohen_2021::chunk::bbefec5b8cb7;schmid_2015_a::chunk::237b11fcaa84;schmid_2015_a::chunk::45217f0ffa73;schmid_2015_a::chunk::7e2a245a8130;schmid_2015_a::chunk::9519a6b13019
alcohol|nn_dmt,nn_dmt,alcohol,0,5,5,2,malcolm_2023;ruffell_2020,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::c115fff54eba;ruffell_2020::chunk::2e4b273d12f3;ruffell_2020::chunk::3b2fd0f128a6;ruffell_2020::chunk::52ffeca03d9f;ruffell_2020::chunk::c72b2f73e595,malcolm_2023::chunk::c115fff54eba;ruffell_2020::chunk::2e4b273d12f3;ruffell_2020::chunk::3b2fd0f128a6;ruffell_2020::chunk::52ffeca03d9f;ruffell_2020::chunk::c72b2f73e595
alcohol|psilocybin,alcohol,psilocybin,2,1,3,3,barnett_2025;halman_2024;rached_2026,"Drug-drug interactions involving classic psychedelics: A systematic review | Hypertensive Emergency Secondary to Combining Psilocybin Mushrooms, Extended Release Dextroamphetamine-Amphetamine, and Tranylcypromine | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances",barnett_2025::chunk::0de876d321a0;rached_2026::chunk::f0b8f4bd20a9,halman_2024::chunk::3034cb6a7fd1,barnett_2025::chunk::0de876d321a0;halman_2024::chunk::3034cb6a7fd1;rached_2026::chunk::f0b8f4bd20a9
alcohol|salvia,salvia,alcohol,0,0,0,0,,,,,
alcohol|serotonergic_opioids,alcohol,serotonergic_opioids,7,0,7,3,baldo_2018;cohen_2021;rached_2026,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances,baldo_2018::chunk::a83fe96ad5f9;baldo_2018::chunk::c14c112d9f6d;cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::f0b8f4bd20a9,,baldo_2018::chunk::a83fe96ad5f9;baldo_2018::chunk::c14c112d9f6d;cohen_2021::chunk::1fbe6f25d058;cohen_2021::chunk::68ad620e4828;cohen_2021::chunk::bbefec5b8cb7;rached_2026::chunk::89e8183c85b8;rached_2026::chunk::f0b8f4bd20a9
alcohol|snri,alcohol,snri,1,0,1,1,cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,cohen_2021::chunk::bbefec5b8cb7,,cohen_2021::chunk::bbefec5b8cb7
alcohol|ssri,alcohol,ssri,1,0,1,1,cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,cohen_2021::chunk::bbefec5b8cb7,,cohen_2021::chunk::bbefec5b8cb7
alcohol|tobacco_rape,tobacco_rape,alcohol,2,1,3,3,cohen_2021;rached_2026;schmid_2015_a,"Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects | Safety and efficacy of monoamine oxidase inhibitors in patients who use psychoactive substances",cohen_2021::chunk::1fbe6f25d058;rached_2026::chunk::89e8183c85b8,schmid_2015_a::chunk::39c967e598af,cohen_2021::chunk::1fbe6f25d058;rached_2026::chunk::89e8183c85b8;schmid_2015_a::chunk::39c967e598af
